lastname,firstname
Abercrombie,Kim
Abolrous,Hazem
Abrus,Luka
Abu-Dayah,Ahmad
Acevedo,Humberto
Achong,Gustavo
Ackerman,Pilar
Adalsteinsson,Gudmundur
Adams,Terry
Affronti,Michael
Agarwal,Manoj
Agarwal,Nupur
Ahs,David
Aiad,Hatim
Ajenstat,François
Akers,Kim
Akin,Cigdem
Ako-Adjei,Kweku
Alberts,AmyE.
Albrecht,BrianT.
Alexander,David
Alexander,Michael
Alexander,Michelle
Alexander,SeanP.
Alexieff,Mark
Alexieva-Bosseva,Diliana
Allen,Michael
Almosnino,Gilead
Alverca,Luis
Alvord,James
Alwan,Antonio
Amireh,Kamil
Anashkin,Oleg
Andersen,HenrietteThaulow
Andersen,MaryKay
Andersen,Thomas
Anderson,Christen
Anderson,Nancy
Andrade,Diogo
Andreshak,Joe
Andrews,Ben
Andrews,Lisa
Antebi,Roy
Apacible,Johnson
Argentiero,Luca
Argrow,NeKeta
Arifin,Zainal
Artman,Ravital
Arts,Ties
Arya,Dimple
Ashkenazi,Ronen
Asbari,Roya
Ashton,Chris
Athalye,Sameer
Atlas,Vivian
Auricchio,JoseLuis
Aviv-Reuven,Shir
Aw,KamFoo
Axford,Kai
BaconJr.,DanK.
Bagel,JeanPhilippe
Bahrami,Anahita
Bailey,Josh
Balasubramanian,Dev
Balázs,Erzsébet
Banai,Yossi
Bakhach,AbuObeida
Bankov,Peter
Bansal,Dushyant
Banti,Ed
Basalik,Evan
Barkóczi,Miklós
Barnett,Dave
Barnhill,Josh
Barr,Adam
Barry,Chris
Bassli,Shai
Baumfeld,Deborah
Beasley,Shaun
Bebbington,Mark
Bechynsky,Stepan
Bedecs,Anna
Bedi,Parry
Beebe,Ann
Belinszki,Balázs
Belishky,Kostadin
Bellew,Allie
Bentley,Sean
Benito,Almudena
Bento,Nuno
Béres,Kálmán
Berg,Karen
Berg,Matt
Berger,Katherine(Kate)
Berka,Martin
Bermejo,Antonio
Berndt,Matthias
Berroth,Michael
Birkby,Dana
Bischoff,Jimmy
Bishop,Scott
Bixhorn,Ari
Black,Neil
Bloesser,Rex
Blomsterberg,BrynjaSigrídur
Blythe,MichaelGreg
Bobde,Nikhil
Bochenek,Tomasz
Boeger,Catherine
Bojman,Frederic
Bolender,Corinna
Bolisetty,Srikanth
Bonaldi,Raffaella
Bonifaz,Luis
Bonnet,Laurent
Borba,LianaKresch
Boseman,Randall
Bott,Jörg
